id,actorId,action,resourceType,resourceId,changes,createdAt
cmhvaj1um0003l4040qo9il22,default-user,todo.updated,Todo,cmhoxyye00001l1042v6ranpz,,2025-11-12T00:57:26.302Z
cmhvaj26b0007l404hfxf38s1,default-user,todo.updated,Todo,cmhoxyw9m0003lg0460xmvfvg,,2025-11-12T00:57:26.724Z
cmhvaj2gz000bl4048b8ctlud,default-user,todo.updated,Todo,cmhoxytnc0001lg04h1d5rbn1,,2025-11-12T00:57:27.108Z
cmhvxcpc60003la04mgycezid,default-user,todo.updated,Todo,cmhtak7xi000vla04p49s4kz1,,2025-11-12T11:36:21.318Z
cmhvxcqch0003l104wejtdhq6,default-user,todo.updated,Todo,cmht4regi0005ji04uogkn6mo,,2025-11-12T11:36:22.625Z
cmhw07xqs0003ju0400xsh7so,default-user,event.updated,CalendarEvent,0a8299a4-ac32-416a-b972-decadaeeb78f,,2025-11-12T12:56:37.780Z
cmhw10p3m0003jf04opuot16p,default-user,event.updated,CalendarEvent,0681be1d-ba32-44fe-9bfe-955e9408d273,,2025-11-12T13:18:59.602Z
cmhw3jx9r0003l104nsb50t2f,default-user,todo.updated,Todo,cmhv3mzcw000tle04yj8qq1m1,,2025-11-12T14:29:55.887Z
cmhw3jy6h0003jm04fduc4cfj,default-user,todo.updated,Todo,cmhuypfy7000rjv04qvuux5na,,2025-11-12T14:29:57.066Z
cmhw3k0v50007l1043l3hat2a,default-user,todo.updated,Todo,cmhuymn0f000bjx04sds107xl,,2025-11-12T14:30:00.545Z
